month,year,domestic not seasonally adjusted ,domestic combined seasonal trading day factor,domestic seasonally adjusted thousands,domestic seasonally adjusted at annual rates millions,,foreign not seasonally adjusted ,foreign combined seasonal trading day factor,foreign seasonally adjusted thousands,foreign seasonally adjusted at annual rates millions,,,,,,
January,1990,350.6,84.93,412.8,4.954,,45.6,86.01,53.0,0.636,,,,,,
February,1990,293.8,88.38,332.4,3.989,,41.7,83.69,49.8,0.598,,,,,,
March,1990,364.0,107.71,338.0,4.056,,55.6,105.23,52.8,0.634,,,,,,
April,1990,351.3,105.10,334.2,4.011,,48.1,97.33,49.5,0.593,,,,,,
May,1990,374.8,114.65,326.9,3.923,,60.3,104.78,57.6,0.691,,,,,,
June,1990,366.3,111.42,328.8,3.945,,57.8,99.50,58.1,0.697,,,,,,
July,1990,365.7,106.97,341.9,4.103,,49.4,109.16,45.2,0.543,,,,,,
August,1990,327.7,103.37,317.0,3.804,,59.7,122.20,48.9,0.586,,,,,,
September,1990,310.6,97.03,320.1,3.841,,43.4,99.29,43.7,0.525,,,,,,
October,1990,308.4,98.94,311.7,3.740,,48.9,99.85,49.0,0.588,,,,,,
November,1990,275.7,89.59,307.8,3.693,,45.3,93.23,48.6,0.583,,,,,,
December,1990,267.9,92.73,288.9,3.466,,46.9,101.41,46.3,0.555,,,,,,
,,,,,,,,,,,,,,,,
January,1991,230.1,83.28,276.3,3.316,,37.5,85.11,44.1,0.529,,,,,,
February,1991,251.1,87.38,287.4,3.449,,38.0,83.65,45.4,0.545,,,,,,
March,1991,306.8,104.14,294.6,3.535,,45.9,104.86,43.8,0.526,,,,,,
April,1991,305.7,107.32,284.9,3.419,,43.2,96.16,44.9,0.539,,,,,,
May,1991,337.3,114.90,293.5,3.522,,48.2,103.85,46.5,0.557,,,,,,
June,1991,339.8,112.01,303.4,3.641,,45.2,99.77,45.3,0.543,,,,,,
July,1991,339.0,112.23,302.0,3.625,,52.0,110.56,47.0,0.564,,,,,,
August,1991,299.1,99.90,299.4,3.592,,56.0,121.36,46.2,0.554,,,,,,
September,1991,330.8,97.98,337.7,4.052,,42.2,99.23,42.6,0.511,,,,,,
October,1991,284.2,98.94,287.2,3.447,,43.3,100.91,43.0,0.515,,,,,,
November,1991,273.8,88.87,308.1,3.697,,37.0,94.10,39.3,0.472,,,,,,
December,1991,307.9,91.39,337.0,4.044,,40.3,101.59,39.7,0.476,,,,,,
,,,,,,,,,,,,,,,,
January,1992,259.4,81.55,318.1,3.817,,31.2,84.95,36.8,0.441,,,,,,
February,1992,290.4,89.52,324.4,3.893,,30.2,84.12,35.9,0.431,,,,,,
March,1992,349.8,105.83,330.6,3.967,,38.0,103.79,36.6,0.439,,,,,,
April,1992,372.3,111.99,332.5,3.990,,33.8,95.06,35.5,0.426,,,,,,
May,1992,382.3,108.63,351.9,4.223,,33.9,102.90,32.9,0.395,,,,,,
June,1992,417.1,115.33,361.7,4.340,,33.2,100.08,33.2,0.398,,,,,,
July,1992,366.4,108.59,337.4,4.049,,35.7,111.76,32.0,0.384,,,,,,
August,1992,367.7,99.87,368.2,4.418,,32.2,120.58,26.7,0.321,,,,,,
September,1992,368.3,97.21,378.9,4.546,,31.6,99.48,31.8,0.381,,,,,,
October,1992,381.1,97.05,392.6,4.712,,31.8,101.72,31.3,0.375,,,,,,
November,1992,339.6,91.73,370.2,4.442,,29.7,94.40,31.4,0.377,,,,,,
December,1992,352.6,92.55,381.0,4.572,,34.6,101.25,34.2,0.410,,,,,,
